alcohol,total_phenols,flavanoids,proanthocyanins,hue,od280/od315_of_diluted_wines,proline,target
14.23,2.8,3.06,2.29,1.04,3.92,1065.0,0
13.2,2.65,2.76,1.28,1.05,3.4,1050.0,0
13.16,2.8,3.24,2.81,1.03,3.17,1185.0,0
14.37,3.85,3.49,2.18,0.86,3.45,1480.0,0
13.24,2.8,2.69,1.82,1.04,2.93,735.0,0
14.2,3.27,3.39,1.97,1.05,2.85,1450.0,0
14.39,2.5,2.52,1.98,1.02,3.58,1290.0,0
14.06,2.6,2.51,1.25,1.06,3.58,1295.0,0
14.83,2.8,2.98,1.98,1.08,2.85,1045.0,0
13.86,2.98,3.15,1.85,1.01,3.55,1045.0,0
14.1,2.95,3.32,2.38,1.25,3.17,1510.0,0
14.12,2.2,2.43,1.57,1.17,2.82,1280.0,0
13.75,2.6,2.76,1.81,1.15,2.9,1320.0,0
14.75,3.1,3.69,2.81,1.25,2.73,1150.0,0
14.38,3.3,3.64,2.96,1.2,3.0,1547.0,0
13.63,2.85,2.91,1.46,1.28,2.88,1310.0,0
14.3,2.8,3.14,1.97,1.07,2.65,1280.0,0
13.83,2.95,3.4,1.72,1.13,2.57,1130.0,0
14.19,3.3,3.93,1.86,1.23,2.82,1680.0,0
13.64,2.7,3.03,1.66,0.96,3.36,845.0,0
14.06,3.0,3.17,2.1,1.09,3.71,780.0,0
12.93,2.41,2.41,1.98,1.03,3.52,770.0,0
13.71,2.61,2.88,1.69,1.11,4.0,1035.0,0
12.85,2.48,2.37,1.46,1.09,3.63,1015.0,0
13.5,2.53,2.61,1.66,1.12,3.82,845.0,0
13.05,2.63,2.68,1.92,1.13,3.2,830.0,0
13.39,2.85,2.94,1.45,0.92,3.22,1195.0,0
13.3,2.4,2.19,1.35,1.02,2.77,1285.0,0
13.87,2.95,2.97,1.76,1.25,3.4,915.0,0
14.02,2.65,2.33,1.98,1.04,3.59,1035.0,0
13.73,3.0,3.25,2.38,1.19,2.71,1285.0,0
13.58,2.86,3.19,1.95,1.09,2.88,1515.0,0
13.68,2.42,2.69,1.97,1.23,2.87,990.0,0
13.76,2.95,2.74,1.35,1.25,3.0,1235.0,0
13.51,2.35,2.53,1.54,1.1,2.87,1095.0,0
13.48,2.7,2.98,1.86,1.04,3.47,920.0,0
13.28,2.6,2.68,1.36,1.09,2.78,880.0,0
13.05,2.45,2.43,1.44,1.12,2.51,1105.0,0
13.07,2.4,2.64,1.37,1.18,2.69,1020.0,0
14.22,3.0,3.04,2.08,0.89,3.53,760.0,0
13.56,3.15,3.29,2.34,0.95,3.38,795.0,0
13.41,2.45,2.68,1.48,0.91,3.0,1035.0,0
13.88,3.25,3.56,1.7,0.88,3.56,1095.0,0
13.24,2.64,2.63,1.66,0.82,3.0,680.0,0
13.05,3.0,3.0,2.03,0.88,3.35,885.0,0
14.21,2.85,2.65,1.25,0.87,3.33,1080.0,0
14.38,3.25,3.17,2.19,1.04,3.44,1065.0,0
13.9,3.1,3.39,2.14,0.91,3.33,985.0,0
14.1,2.75,2.92,2.38,1.07,2.75,1060.0,0
13.94,2.88,3.54,2.08,1.12,3.1,1260.0,0
13.05,2.72,3.27,2.91,1.12,2.91,1150.0,0
13.83,2.45,2.99,2.29,1.24,3.37,1265.0,0
13.82,3.88,3.74,1.87,1.01,3.26,1190.0,0
13.77,3.0,2.79,1.68,1.13,2.93,1375.0,0
13.74,2.6,2.9,1.62,0.92,3.2,1060.0,0
13.56,2.96,2.78,2.45,0.98,3.03,1120.0,0
14.22,3.2,3.0,2.03,0.94,3.31,970.0,0
13.29,3.0,3.23,1.66,1.07,2.84,1270.0,0
13.72,3.4,3.67,2.04,0.89,2.87,1285.0,0
12.37,1.98,0.57,0.42,1.05,1.82,520.0,1
12.33,2.05,1.09,0.41,1.25,1.67,680.0,1
12.64,2.02,1.41,0.62,0.98,1.59,450.0,1
13.67,2.1,1.79,0.73,1.23,2.46,630.0,1
12.37,3.5,3.1,1.87,1.22,2.87,420.0,1
12.17,1.89,1.75,1.03,1.45,2.23,355.0,1
12.37,2.42,2.65,2.08,1.19,2.3,678.0,1
13.11,2.98,3.18,2.28,1.12,3.18,502.0,1
12.37,2.11,2.0,1.04,1.12,3.48,510.0,1
13.34,2.53,1.3,0.42,1.02,1.93,750.0,1
12.21,1.85,1.28,2.5,1.28,3.07,718.0,1
12.29,1.1,1.02,1.46,0.906,1.82,870.0,1
13.86,2.95,2.86,1.87,1.36,3.16,410.0,1
13.49,1.88,1.84,1.03,0.98,2.78,472.0,1
12.99,3.3,2.89,1.96,1.31,3.5,985.0,1
11.96,3.38,2.14,1.65,0.99,3.13,886.0,1
11.66,1.61,1.57,1.15,1.23,2.14,428.0,1
13.03,1.95,2.03,1.46,1.19,2.48,392.0,1
11.84,1.72,1.32,0.95,0.96,2.52,500.0,1
12.33,1.9,1.85,2.76,1.06,2.31,750.0,1
12.7,2.83,2.55,1.95,1.19,3.13,463.0,1
12.0,2.42,2.26,1.43,1.38,3.12,278.0,1
12.72,2.2,2.53,1.77,1.16,3.14,714.0,1
12.08,2.0,1.58,1.4,1.31,2.72,630.0,1
13.05,1.65,1.59,1.62,0.84,2.01,515.0,1
11.84,2.2,2.21,2.35,0.79,3.08,520.0,1
12.67,2.2,1.94,1.46,1.23,3.16,450.0,1
12.16,1.78,1.69,1.56,1.33,2.26,495.0,1
11.65,1.92,1.61,1.34,1.36,3.21,562.0,1
11.64,1.95,1.69,1.35,1.0,2.75,680.0,1
12.08,2.2,1.59,1.38,1.07,3.21,625.0,1
12.08,1.6,1.5,1.64,1.08,2.27,480.0,1
12.0,1.45,1.25,1.63,1.05,2.65,450.0,1
12.69,1.38,1.46,1.62,0.96,2.06,495.0,1
12.29,2.45,2.25,1.99,1.15,3.3,290.0,1
11.62,3.02,2.26,1.35,1.16,2.96,345.0,1
12.47,2.5,2.27,3.28,1.16,2.63,937.0,1
11.81,1.6,0.99,1.56,0.95,2.26,625.0,1
12.29,2.55,2.5,1.77,1.23,2.74,428.0,1
12.37,3.52,3.75,1.95,1.04,2.77,660.0,1
12.29,2.85,2.99,2.81,1.42,2.83,406.0,1
12.08,2.23,2.17,1.4,1.27,2.96,710.0,1
12.6,1.45,1.36,1.35,1.04,2.77,562.0,1
12.34,2.56,2.11,1.31,0.8,3.38,438.0,1
11.82,2.5,1.64,1.42,0.94,2.44,415.0,1
12.51,2.2,1.92,1.48,1.04,3.57,672.0,1
12.42,1.68,1.84,1.42,0.86,3.3,315.0,1
12.25,1.65,2.03,1.63,1.0,3.17,510.0,1
12.72,1.38,1.76,1.63,0.88,2.42,488.0,1
12.22,2.36,2.04,2.08,0.86,3.02,312.0,1
11.61,2.74,2.92,2.49,0.96,3.26,680.0,1
11.46,3.18,2.58,3.58,0.75,2.81,562.0,1
12.52,2.55,2.27,1.22,0.9,2.78,325.0,1
11.76,1.75,2.03,1.05,1.23,2.5,607.0,1
11.41,2.48,2.01,1.44,1.1,2.31,434.0,1
12.08,2.56,2.29,1.04,0.93,3.19,385.0,1
11.03,2.46,2.17,2.01,1.71,2.87,407.0,1
11.82,1.98,1.6,1.53,0.95,3.33,495.0,1
12.42,2.0,2.09,1.61,1.06,2.96,345.0,1
12.77,1.63,1.25,0.83,0.7,2.12,372.0,1
12.0,2.0,1.64,1.87,0.93,3.05,564.0,1
11.45,2.9,2.79,1.83,0.8,3.39,625.0,1
11.56,3.18,5.08,1.87,0.93,3.69,465.0,1
12.42,2.2,2.13,1.71,0.92,3.12,365.0,1
13.05,2.62,2.65,2.01,0.73,3.1,380.0,1
11.87,2.86,3.03,2.91,0.75,3.64,380.0,1
12.07,2.6,2.65,1.35,0.86,3.28,378.0,1
12.43,2.74,3.15,1.77,0.69,2.84,352.0,1
11.79,2.13,2.24,1.76,0.97,2.44,466.0,1
12.37,2.22,2.45,1.9,0.89,2.78,342.0,1
12.04,2.1,1.75,1.35,0.79,2.57,580.0,1
12.86,1.51,1.25,0.94,0.76,1.29,630.0,2
12.88,1.3,1.22,0.83,0.74,1.42,530.0,2
12.81,1.15,1.09,0.83,0.66,1.36,560.0,2
12.7,1.7,1.2,0.84,0.78,1.29,600.0,2
12.51,2.0,0.58,1.25,0.75,1.51,650.0,2
12.6,1.62,0.66,0.94,0.73,1.58,695.0,2
12.25,1.38,0.47,0.8,0.75,1.27,720.0,2
12.53,1.79,0.6,1.1,0.82,1.69,515.0,2
13.49,1.62,0.48,0.88,0.81,1.82,580.0,2
12.84,2.32,0.6,0.81,0.89,2.15,590.0,2
12.93,1.54,0.5,0.75,0.77,2.31,600.0,2
13.36,1.4,0.5,0.64,0.7,2.47,780.0,2
13.52,1.55,0.52,0.55,0.89,2.06,520.0,2
13.62,2.0,0.8,1.02,0.91,2.05,550.0,2
12.25,1.38,0.78,1.14,0.65,2.0,855.0,2
13.16,1.5,0.55,1.3,0.6,1.68,830.0,2
13.88,0.98,0.34,0.68,0.58,1.33,415.0,2
12.87,1.7,0.65,0.86,0.54,1.86,625.0,2
13.32,1.93,0.76,1.25,0.55,1.62,650.0,2
13.08,1.41,1.39,1.14,0.57,1.33,550.0,2
13.5,1.4,1.57,1.25,0.59,1.3,500.0,2
12.79,1.48,1.36,1.26,0.48,1.47,480.0,2
13.11,2.2,1.28,1.56,0.61,1.33,425.0,2
13.23,1.8,0.83,1.87,0.56,1.51,675.0,2
12.58,1.48,0.58,1.4,0.58,1.55,640.0,2
13.17,1.74,0.63,1.55,0.6,1.48,725.0,2
13.84,1.8,0.83,1.56,0.57,1.64,480.0,2
12.45,1.9,0.58,1.14,0.67,1.73,880.0,2
14.34,2.8,1.31,2.7,0.57,1.96,660.0,2
13.48,2.6,1.1,2.29,0.57,1.78,620.0,2
12.36,2.3,0.92,1.04,0.56,1.58,520.0,2
13.69,1.83,0.56,0.8,0.96,1.82,680.0,2
12.85,1.65,0.6,0.96,0.87,2.11,570.0,2
12.96,1.39,0.7,0.94,0.68,1.75,675.0,2
13.78,1.35,0.68,1.03,0.7,1.68,615.0,2
13.73,1.28,0.47,1.15,0.78,1.75,520.0,2
13.45,1.7,0.92,1.46,0.85,1.56,695.0,2
12.82,1.48,0.66,0.97,0.72,1.75,685.0,2
13.58,1.55,0.84,1.54,0.74,1.8,750.0,2
13.4,1.98,0.96,1.11,0.67,1.92,630.0,2
12.2,1.25,0.49,0.73,0.66,1.83,510.0,2
12.77,1.39,0.51,0.64,0.57,1.63,470.0,2
14.16,1.68,0.7,1.24,0.62,1.71,660.0,2
13.71,1.68,0.61,1.06,0.64,1.74,740.0,2
13.4,1.8,0.75,1.41,0.7,1.56,750.0,2
13.27,1.59,0.69,1.35,0.59,1.56,835.0,2
13.17,1.65,0.68,1.46,0.6,1.62,840.0,2
14.13,2.05,0.76,1.35,0.61,1.6,560.0,2
